,0,1,2,3,4,5,6,7,8
5816,pretentious,less_proper,incomplete,more,critical,convenient,nonprob,not_recom,not_recom
3495,usual,very_crit,complete,1,critical,convenient,slightly_prob,recommended,priority
1549,usual,less_proper,foster,1,critical,convenient,nonprob,priority,priority
1216,usual,less_proper,completed,3,less_conv,inconv,nonprob,priority,priority
3588,usual,very_crit,complete,3,less_conv,convenient,problematic,recommended,spec_prior
8916,great_pret,proper,completed,2,convenient,convenient,problematic,recommended,priority
5306,pretentious,less_proper,complete,3,convenient,inconv,slightly_prob,not_recom,not_recom
4052,usual,very_crit,incomplete,more,convenient,convenient,nonprob,not_recom,not_recom
669,usual,proper,foster,1,less_conv,convenient,slightly_prob,recommended,priority
4452,pretentious,proper,complete,3,less_conv,convenient,problematic,recommended,priority
9722,great_pret,less_proper,completed,1,convenient,convenient,nonprob,not_recom,not_recom
9299,great_pret,proper,foster,1,convenient,inconv,nonprob,not_recom,not_recom
5859,pretentious,less_proper,foster,1,less_conv,inconv,nonprob,recommended,priority
5453,pretentious,less_proper,completed,1,critical,inconv,problematic,not_recom,not_recom
6615,pretentious,improper,incomplete,3,less_conv,inconv,nonprob,recommended,priority
5040,pretentious,proper,foster,2,less_conv,convenient,nonprob,recommended,priority
1273,usual,less_proper,completed,more,less_conv,inconv,slightly_prob,priority,priority
7682,pretentious,critical,foster,3,convenient,inconv,slightly_prob,not_recom,not_recom
12852,great_pret,very_crit,foster,3,convenient,convenient,nonprob,recommended,priority
45,usual,proper,complete,1,critical,inconv,nonprob,recommended,very_recom
9928,great_pret,less_proper,completed,more,critical,inconv,nonprob,priority,spec_prior
11113,great_pret,improper,foster,2,critical,convenient,problematic,priority,spec_prior
1826,usual,improper,complete,2,critical,convenient,problematic,not_recom,not_recom
12273,great_pret,very_crit,complete,more,convenient,inconv,problematic,recommended,spec_prior
10627,great_pret,improper,completed,1,critical,convenient,problematic,priority,spec_prior
9560,great_pret,less_proper,complete,2,convenient,convenient,nonprob,not_recom,not_recom
6946,pretentious,critical,complete,1,less_conv,inconv,problematic,priority,spec_prior
1654,usual,less_proper,foster,3,less_conv,inconv,problematic,priority,priority
6941,pretentious,critical,complete,1,less_conv,inconv,nonprob,not_recom,not_recom
1518,usual,less_proper,foster,1,convenient,convenient,problematic,recommended,priority
9789,great_pret,less_proper,completed,2,convenient,inconv,problematic,recommended,priority
8576,pretentious,very_crit,foster,3,critical,convenient,problematic,not_recom,not_recom
7081,pretentious,critical,complete,more,convenient,convenient,problematic,priority,spec_prior
4119,usual,very_crit,foster,1,convenient,inconv,problematic,recommended,spec_prior
1727,usual,less_proper,foster,more,critical,inconv,problematic,not_recom,not_recom
8369,pretentious,very_crit,incomplete,3,critical,inconv,problematic,not_recom,not_recom
4294,usual,very_crit,foster,more,less_conv,inconv,nonprob,priority,spec_prior
3552,usual,very_crit,complete,2,critical,convenient,problematic,recommended,spec_prior
8436,pretentious,very_crit,foster,1,convenient,inconv,slightly_prob,recommended,spec_prior
117,usual,proper,complete,3,convenient,inconv,nonprob,recommended,priority
9054,great_pret,proper,completed,more,critical,convenient,nonprob,recommended,priority
5326,pretentious,less_proper,complete,3,less_conv,inconv,problematic,priority,priority
2672,usual,critical,complete,2,less_conv,convenient,problematic,not_recom,not_recom
4690,pretentious,proper,completed,3,critical,inconv,nonprob,priority,priority
8153,pretentious,very_crit,completed,3,critical,inconv,problematic,not_recom,not_recom
3309,usual,critical,foster,2,convenient,inconv,problematic,recommended,spec_prior
7284,pretentious,critical,completed,3,critical,inconv,slightly_prob,recommended,spec_prior
7548,pretentious,critical,incomplete,more,critical,convenient,problematic,recommended,spec_prior
3647,usual,very_crit,complete,more,less_conv,inconv,nonprob,not_recom,not_recom
4657,pretentious,proper,completed,3,convenient,inconv,slightly_prob,priority,priority
546,usual,proper,incomplete,3,convenient,convenient,problematic,recommended,priority
7139,pretentious,critical,completed,1,convenient,inconv,nonprob,not_recom,not_recom
6732,pretentious,improper,foster,1,critical,convenient,nonprob,recommended,priority
2318,usual,improper,incomplete,3,critical,inconv,slightly_prob,not_recom,not_recom
8638,pretentious,very_crit,foster,more,critical,inconv,problematic,priority,spec_prior
8738,great_pret,proper,complete,2,critical,convenient,problematic,not_recom,not_recom
